id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
54734,80364,25000,25000,19081, 36 months,0.1189,829.1,B,B4,< 1 year,RENT,85000,Verified,2009-08-01,Fully Paid,941xx,CA,19.48,0,01-02-1994,0,NA,NA,10,0,28854,0.521,42,f,0,0,29330.3567,21817.65,25000,4330.36,0,0,0,2011-10-01,7392.08,2012-08-01
55742,114426,7000,7000,673, 36 months,0.1071,228.22,B,B5,< 1 year,RENT,65000,Not Verified,2008-05-01,Fully Paid,112xx,NY,14.29,0,01-10-2000,0,NA,NA,7,0,33623,0.767,7,f,0,0,8215.53706,684.94,7000,1215.54,0,0,0,2011-06-01,228.48,2012-08-01
57245,138150,1200,1200,1200, 36 months,0.1311,40.5,C,C2,10+ years,OWN,54000,Not Verified,2010-03-01,Fully Paid,777xx,TX,5.47,0,01-01-1985,0,64,NA,5,0,2584,0.404,31,f,0,0,1457.819531,1457.82,1200,257.82,0,0,0,2013-03-01,42.73,2016-05-01
57416,139635,10800,10800,10692, 36 months,0.1357,366.86,C,C3,6 years,RENT,32000,Not Verified,2009-11-01,Fully Paid,067xx,CT,11.63,0,01-12-1996,1,58,NA,14,0,3511,0.256,40,f,0,0,13207.7633,13073.71,10800,2407.76,0,0,0,2012-11-01,398,2016-05-01
58915,153417,7500,5025,558, 36 months,0.1008,162.34,B,B3,3 years,RENT,85000,Not Verified,2008-04-01,Fully Paid,921xx,CA,8.1,0,01-11-2000,1,NA,NA,3,0,33667,0.732,11,f,0,0,5843.875367,571.3,5024.99,818.88,0,0,0,2011-04-01,162.63,2014-03-01
59006,154254,3000,3000,2989, 36 months,0.1426,102.92,C,C5,3 years,MORTGAGE,80800,Not Verified,2009-09-01,Fully Paid,775xx,TX,14.97,1,01-07-1998,0,13,0,13,0,4740,0.395,23,f,0,0,3704.99765,3688.85,3000,705,0,0,0,2012-10-01,111.23,2012-09-01
61390,182594,4000,4000,3900, 36 months,0.0788,125.13,A,A5,< 1 year,MORTGAGE,148000,Not Verified,2010-02-01,Fully Paid,775xx,TX,16.98,0,01-05-1993,0,NA,NA,11,0,50807,0.51,19,f,0,0,4451.606058,4340.32,4000,451.61,0,0,0,2012-03-01,1454.31,2012-03-01
61419,182917,5600,5600,5525, 36 months,0.1496,194.02,D,D2,1 year,RENT,45000,Not Verified,2010-02-01,Charged Off,208xx,MD,4,0,01-06-2001,0,38,63,5,1,3839,0.768,9,f,0,0,6474.6,6387.92,5220.69,1211.07,0,42.84,1.06,2012-10-01,194.02,2013-03-01
62102,191024,3200,3200,3200, 36 months,0.0988,103.08,B,B1,5 years,RENT,54000,Not Verified,2010-04-01,Fully Paid,021xx,MA,6.51,0,01-06-2006,0,NA,NA,7,0,3198,0.511,11,f,0,0,3413.98528,3413.99,3200,213.99,0,0,0,2011-02-01,2592.23,2013-03-01
65426,232106,4000,4000,3893, 36 months,0.1114,131.22,B,B1,< 1 year,MORTGAGE,60000,Not Verified,2009-08-01,Charged Off,481xx,MI,11.08,0,01-08-1995,0,0,0,14,0,24220,0.686,33,f,0,0,2755.2,2615.8,2170.35,584.85,0,0,0,2011-06-01,131.22,2016-05-01
65640,234569,5000,2650,496, 36 months,0.1134,87.19,C,C2,10+ years,MORTGAGE,90000,Not Verified,2008-05-01,Fully Paid,912xx,CA,17.25,0,01-05-1997,1,0,0,20,0,69909,0.511,51,f,0,0,3153.804764,512.18,2649.99,488.82,15,0,0,2011-05-01,87.83,2015-04-01
66431,243540,2525,2525,2375, 36 months,0.1221,84.12,B,B5,3 years,RENT,27000,Not Verified,2009-02-01,Fully Paid,402xx,KY,10,0,01-09-2001,1,NA,NA,5,0,5630,0.23,8,f,0,0,3028.319048,2848.42,2525,503.32,0,0,0,2012-03-01,89.75,2012-03-01
66749,246329,10625,10625,5326, 36 months,0.1347,360.43,C,C4,10+ years,MORTGAGE,34000,Not Verified,2008-12-01,Fully Paid,386xx,MS,22.09,0,01-07-1990,2,57,85,5,1,13846,0.71,16,f,0,0,12975.35746,6107.41,10625,2350.36,0,0,0,2012-01-01,370.44,2011-12-01
66943,247802,2800,2800,2700, 60 months,0.1149,61.57,B,B4,< 1 year,RENT,24000,Not Verified,2010-08-01,Fully Paid,926xx,CA,4,0,01-12-2000,0,NA,97,7,1,2183,0.195,23,f,0,0,3143.861603,3031.58,2800,343.86,0,0,0,2011-10-01,2348.97,2014-07-01
